Timestamp,Price,Book Size,Gap,Volatility,Queue Size,profitableagent Cash,testagent1 Cash,testagent2 Cash,testagent3 Cash,testagent4 Cash,testagent5 Cash,profitableagent Shares,testagent1 Shares,testagent2 Shares,testagent3 Shares,testagent4 Shares,testagent5 Shares,profitableagent Orders/Sent,testagent1 Orders/Sent,testagent2 Orders/Sent,testagent3 Orders/Sent,testagent4 Orders/Sent,testagent5 Orders/Sent,profitableagent Orders/Matched,testagent1 Orders/Matched,testagent2 Orders/Matched,testagent3 Orders/Matched,testagent4 Orders/Matched,testagent5 Orders/Matched,profitableagent Orders/Canceled,testagent1 Orders/Canceled,testagent2 Orders/Canceled,testagent3 Orders/Canceled,testagent4 Orders/Canceled,testagent5 Orders/Canceled
241.87946389923889,100,31,-1,0.0,0.0,10000000,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000,10000,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
445.0815778006663,100,72,-1,0.0,0.0,10000000,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000,10000,0,0,41,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
593.0300478805269,100,152,-1,0.0,0.0,10000000,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000,10000,0,0,41,80,0,31,0,0,0,0,0,0,0,0,0,0,0,0
637.2000366751206,100,161,-1,0.0,0.0,10000000,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000,10000,0,0,50,80,0,31,0,0,0,0,0,0,0,0,0,0,0,0
1202.1398011469525,100.65,5,-1,0.26000000000000223,0.0,10000000,9992451.25,10000000,10007548.75,10000000,10000000,10000,10075,10000,9925,10000,10000,0,75,50,80,0,31,0,75,0,75,0,0,0,0,50,0,0,31
1222.903239567491,100.65,81,-1,0.3064129385141733,0.0,10000000,9992451.25,10000000,10007548.75,10000000,10000000,10000,10075,10000,9925,10000,10000,0,75,126,80,0,31,0,75,0,75,0,0,0,0,50,0,0,31
1275.1001978612812,100.65,146,-1,0.32166657854850855,0.0,10000000,9992451.25,10000000,10007548.75,10000000,10000000,10000,10075,10000,9925,10000,10000,0,75,126,150,0,31,0,75,0,75,0,0,0,0,50,5,0,31
1417.9396499528425,99.99,114,-1,0.31566398274114527,0.0,10000000,9989251.57,10003199.68,10007548.75,10000000,10000000,10000,10107,9968,9925,10000,10000,0,107,126,150,0,31,0,107,32,75,0,0,0,0,50,5,0,31
1624.5560757547998,99.99,201,1.1299999999999955,0.3080083372288343,0.0,10000000,9989251.57,10003199.68,10007548.75,10000000,10000000,10000,10107,9968,9925,10000,10000,0,107,126,150,0,118,0,107,32,75,0,0,0,0,50,5,0,31
1628.8186437051352,98.86,162,1.1299999999999955,0.5004887611125771,0.0,10000000,9989251.57,10003199.68,10011404.29,10000000,9996144.46,10000,10107,9968,9886,10000,10039,0,107,126,189,0,118,0,107,32,114,0,39,0,0,50,5,0,31
1842.873328255773,98.86,177,1.1299999999999955,0.5920506455888306,0.0,10000000,9989251.57,10003199.68,10011404.29,10000000,9996144.46,10000,10107,9968,9886,10000,10039,0,107,126,189,0,203,0,107,32,114,0,39,0,0,50,75,0,31
2051.5304325506627,98.86,92,-1,0.644301408934947,0.0,10000000,9989251.57,10003199.68,10011404.29,10004745.28,9991399.180000002,10000,10107,9968,9886,9952,10087,0,107,126,189,55,203,0,107,32,114,48,87,0,0,94,75,0,31
2066.021745717976,97.6,92,1.2399999999999949,0.8665800290484234,0.0,10000000,9989251.57,10003199.68,10011404.29,10005428.479999999,9990715.980000002,10000,10107,9968,9886,9945,10094,0,107,126,189,55,217,0,107,32,114,55,94,0,0,94,75,0,31
2288.04424225838,97.6,94,1.2399999999999949,0.9950051276660025,0.0,10000000,9989251.57,10003199.68,10011404.29,10005428.479999999,9990715.980000002,10000,10107,9968,9886,9945,10094,0,107,126,191,55,217,0,107,32,114,55,94,0,0,94,75,0,31
2290.323923094214,97.6,143,1.2399999999999949,1.077407175687181,0.0,10000000,9989251.57,10003199.68,10011404.29,10005428.479999999,9990715.980000002,10000,10107,9968,9886,9945,10094,0,107,175,191,55,217,0,107,32,114,55,94,0,0,94,75,0,31
