Timestamp,Price,Book Size,Gap,Volatility,Queue Size,profitableagent Cash,testagent1 Cash,testagent2 Cash,testagent3 Cash,testagent4 Cash,testagent5 Cash,profitableagent Shares,testagent1 Shares,testagent2 Shares,testagent3 Shares,testagent4 Shares,testagent5 Shares,profitableagent Orders/Sent,testagent1 Orders/Sent,testagent2 Orders/Sent,testagent3 Orders/Sent,testagent4 Orders/Sent,testagent5 Orders/Sent,profitableagent Orders/Matched,testagent1 Orders/Matched,testagent2 Orders/Matched,testagent3 Orders/Matched,testagent4 Orders/Matched,testagent5 Orders/Matched,profitableagent Orders/Canceled,testagent1 Orders/Canceled,testagent2 Orders/Canceled,testagent3 Orders/Canceled,testagent4 Orders/Canceled,testagent5 Orders/Canceled
295.65472415195404,100,3,-1,0.0,0.0,10000000,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000,10000,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
464.7076307496626,100,101,1.7199999999999989,0.0,0.0,10000000,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000,10000,0,0,0,0,98,3,0,0,0,0,0,0,0,0,0,0,0,0
506.138578030781,100.01,3,-1,0.004714045207912729,0.0,10000000,10000000,10009800.98,10000000,9990199.02,10000000,10000,10000,9902,10000,10098,10000,0,0,98,0,98,3,0,0,98,0,98,0,0,0,0,0,0,0
743.9223090375433,100.01,35,2.0900000000000034,0.005000000000002558,0.0,10000000,10000000,10009800.98,10000000,9990199.02,10000000,10000,10000,9902,10000,10098,10000,0,0,98,0,98,35,0,0,98,0,98,0,0,0,0,0,0,0
953.2069524967898,100.01,49,0.46999999999999886,0.004898979485568862,0.0,10000000,10000000,10009800.98,10000000,9990199.02,10000000,10000,10000,9902,10000,10098,10000,0,0,98,0,112,35,0,0,98,0,98,0,0,0,0,0,0,0
963.4122818130214,100.11,76,-1,0.03901566636906433,0.44988442584701716,10000000,9998598.46,10009800.98,10000000,9991600.559999999,10000000,10000,10014,9902,10000,10084,10000,0,58,98,0,112,35,0,14,98,0,112,0,0,0,0,0,0,3
971.2020570173522,100.11,147,-1,0.04716449719776763,0.0,10000000,9998598.46,10009800.98,10000000,9991600.559999999,10000000,10000,10014,9902,10000,10084,10000,0,58,98,71,112,35,0,14,98,0,112,0,0,0,0,0,0,3
1369.3451802547743,100.11,230,-1,0.050497524691808786,0.0,10000000,9998598.46,10009800.98,10000000,9991600.559999999,10000000,10000,10014,9902,10000,10084,10000,0,58,98,71,195,35,0,14,98,0,112,0,0,0,0,0,0,3
1384.9352808668596,100.11,313,-1,0.051806858786108405,0.0,10000000,9998598.46,10009800.98,10000000,9991600.559999999,10000000,10000,10014,9902,10000,10084,10000,0,141,98,71,195,35,0,14,98,0,112,0,0,0,0,0,0,3
1407.0777514964866,100.11,347,-1,0.052115256883179834,0.9925452528782444,10000000,9998598.46,10009800.98,10000000,9991600.559999999,10000000,10000,10014,9902,10000,10084,10000,0,141,98,137,195,35,0,14,98,0,112,0,0,0,0,0,0,35
1632.144529772926,100.7,207,-1,0.19113406657359303,0.0,10000000,10005249.280000001,10009800.98,9993349.18,9991600.559999999,10000000,10000,9948,9902,10066,10084,10000,0,237,98,137,195,35,0,140,98,66,112,0,0,44,0,0,0,35
1633.5565567003246,100.7,175,-1,0.2439432994229058,0.0,10000000,10002026.88,10013023.38,9993349.18,9991600.559999999,10000000,10000,9980,9870,10066,10084,10000,0,237,130,137,195,35,0,172,130,66,112,0,0,44,0,0,0,35
1657.043191344359,99.64,95,-1,0.2729501330791564,0.0,10000000,9999912.180000002,10013023.38,9993349.18,9993715.259999998,10000000,10000,10001,9870,10066,10063,10000,0,237,130,137,275,35,0,193,130,66,251,0,0,44,0,0,0,35
1674.5666945997157,99.64,183,-1,0.29113080025504534,0.0,10000000,9999912.180000002,10013023.38,9993349.18,9993715.259999998,10000000,10000,10001,9870,10066,10063,10000,0,237,130,225,275,35,0,193,130,66,251,0,0,44,0,0,0,35
1821.883078589698,99.89,92,-1,0.2856493577019837,0.0,10000000,9999912.180000002,10013023.38,9991351.379999999,9993715.259999998,10001997.8,10000,10001,9870,10086,10063,9980,0,237,130,225,275,55,0,193,130,86,251,20,0,44,0,71,0,35
1825.4131635519864,99.89,138,-1,0.28024542815182596,0.0,10000000,9999912.180000002,10013023.38,9991351.379999999,9993715.259999998,10001997.8,10000,10001,9870,10086,10063,9980,0,237,130,225,321,55,0,193,130,86,251,20,0,44,0,71,0,35
1829.1557889663877,99.89,172,-1,0.274978451499254,0.36612540025680573,10000000,9999912.180000002,10013023.38,9991351.379999999,9993715.259999998,10001997.8,10000,10001,9870,10086,10063,9980,0,271,130,225,321,55,0,193,130,86,251,20,0,44,0,71,0,35
1847.0788106443435,101.18,151,0.7000000000000028,0.37128613637157165,0.0,10000000,9999912.180000002,10017677.66,9991351.379999999,9989060.979999999,10001997.8,10000,10001,9824,10086,10109,9980,0,271,201,225,321,55,0,193,176,86,297,20,0,44,0,71,0,35
1849.0788106443435,101.18,205,0.5100000000000051,0.4323382281157961,0.9018210862386695,10000000,9999912.180000002,10017677.66,9991351.379999999,9989060.979999999,10001997.8,10000,10001,9824,10086,10109,9980,0,271,201,225,321,109,0,193,176,86,297,20,0,44,0,71,0,35
1851.002692141979,100.08,189,0.5100000000000051,0.421880018488671,0.0,10000000,9999912.180000002,10017677.66,9992952.659999998,9989060.979999999,10000396.520000001,10000,10001,9824,10070,10109,9996,0,271,201,241,321,109,0,193,176,102,297,36,0,44,0,71,0,35
1866.9682630972409,100.08,235,0.5100000000000051,0.41214388875005165,0.0,10000000,9999912.180000002,10017677.66,9992952.659999998,9989060.979999999,10000396.520000001,10000,10001,9824,10070,10109,9996,0,317,201,241,321,109,0,193,176,102,297,36,0,44,0,71,0,35
