Timestamp,Price,Book Size,Gap,Volatility,Queue Size,profitableagent Cash,testagent1 Cash,testagent2 Cash,testagent3 Cash,testagent4 Cash,testagent5 Cash,profitableagent Shares,testagent1 Shares,testagent2 Shares,testagent3 Shares,testagent4 Shares,testagent5 Shares,profitableagent Orders/Sent,testagent1 Orders/Sent,testagent2 Orders/Sent,testagent3 Orders/Sent,testagent4 Orders/Sent,testagent5 Orders/Sent,profitableagent Orders/Matched,testagent1 Orders/Matched,testagent2 Orders/Matched,testagent3 Orders/Matched,testagent4 Orders/Matched,testagent5 Orders/Matched,profitableagent Orders/Canceled,testagent1 Orders/Canceled,testagent2 Orders/Canceled,testagent3 Orders/Canceled,testagent4 Orders/Canceled,testagent5 Orders/Canceled
340.5242836180801,100,85,-1,0.0,0.0,10000000,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000,10000,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0
524.7520688847355,100,117,-1,0.0,0.0,10000000,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000,10000,0,32,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0
749.6191280129605,100,139,-1,0.0,0.0,10000000,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000,10000,0,32,0,0,22,85,0,0,0,0,0,0,0,0,0,0,0,0
1113.0973146412848,99.88,23,-1,0.05196152422706828,0.0,10000000,10000000,10000000,9997802.64,10002197.36,10000000,10000,10000,10000,10022,9978,10000,0,32,0,45,22,85,0,0,0,22,22,0,0,32,0,0,0,85
1297.4728846918053,99.88,41,-1,0.0587877538267985,0.0,10000000,10000000,10000000,9997802.64,10002197.36,10000000,10000,10000,10000,10022,9978,10000,0,32,18,45,22,85,0,0,0,22,22,0,0,32,0,0,0,85
1310.884113613337,100.73,57,-1,0.29486814379010784,0.0,10000000,10000000,9998186.86,9995485.39,10006327.75,10000000,10000,10000,10018,10045,9937,10000,0,32,18,45,120,85,0,0,18,45,63,0,0,32,0,0,0,85
1338.7725989882313,100.73,80,-1,0.3549590375907465,0.0,10000000,10000000,9998186.86,9995485.39,10006327.75,10000000,10000,10000,10018,10045,9937,10000,0,32,18,68,120,85,0,0,18,45,63,0,0,32,0,0,0,85
1444.2291050388,99.52,70,-1,0.3963190003015277,0.0,10000000,9999004.8,9998186.86,9995485.39,10007322.95,10000000,10000,10010,10018,10045,9927,10000,0,42,18,68,120,85,0,10,18,45,73,0,0,32,0,0,0,85
1516.9469954438505,99.52,144,-1,0.4147139427617428,0.0,10000000,9999004.8,9998186.86,9995485.39,10007322.95,10000000,10000,10010,10018,10045,9927,10000,0,42,18,68,120,159,0,10,18,45,73,0,0,32,0,0,0,85
1641.161164526052,99.52,210,-1,0.4220142177699733,0.0,10000000,9999004.8,9998186.86,9995485.39,10007322.95,10000000,10000,10010,10018,10045,9927,10000,0,42,18,68,186,159,0,10,18,45,73,0,0,32,0,0,0,85
1686.9006799490558,99.52,256,1.509999999999991,0.4233690143527889,0.0,10000000,9999004.8,9998186.86,9995485.39,10007322.95,10000000,10000,10010,10018,10045,9927,10000,0,42,18,114,186,159,0,10,18,45,73,0,0,32,0,0,0,85
2353.0146815545804,99.52,119,-1,0.4213635273991149,0.0,10000000,9999004.8,9998186.86,9995485.39,10007322.95,10000000,10000,10010,10018,10045,9927,10000,0,42,18,167,186,159,0,10,18,45,73,0,0,32,0,69,47,159
2367.435222135254,98.23,91,-1,0.6019249201249741,0.8546803036406345,10000000,9999004.8,9998186.86,9998235.83,10007322.95,9997249.56,10000,10010,10018,10017,9927,10028,0,42,18,167,186,187,0,10,18,73,73,28,0,32,0,69,47,159
2802.6657203254067,98.23,56,2.3299999999999983,0.7031097107181227,0.0,10000000,9999004.8,9998186.86,9998235.83,10007322.95,9997249.56,10000,10010,10018,10017,9927,10028,0,42,18,167,217,187,0,10,18,73,73,28,0,32,0,69,113,159
2823.2082748403955,98.23,81,2.3299999999999983,0.7675629543489497,0.0,10000000,9999004.8,9998186.86,9998235.83,10007322.95,9997249.56,10000,10010,10018,10017,9927,10028,0,42,43,167,217,187,0,10,18,73,73,28,0,32,0,69,113,159
3055.7854002569916,98.23,170,2.3299999999999983,0.810631505370966,0.0,10000000,9999004.8,9998186.86,9998235.83,10007322.95,9997249.56,10000,10010,10018,10017,9927,10028,0,42,43,167,217,276,0,10,18,73,73,28,0,32,0,69,113,159
