Timestamp,Price,Book Size,Gap,Volatility,Queue Size,marketmaker Cash,testagent1 Cash,testagent2 Cash,testagent3 Cash,testagent4 Cash,testagent5 Cash,marketmaker Shares,testagent1 Shares,testagent2 Shares,testagent3 Shares,testagent4 Shares,testagent5 Shares,marketmaker Orders/Sent,testagent1 Orders/Sent,testagent2 Orders/Sent,testagent3 Orders/Sent,testagent4 Orders/Sent,testagent5 Orders/Sent,marketmaker Orders/Matched,testagent1 Orders/Matched,testagent2 Orders/Matched,testagent3 Orders/Matched,testagent4 Orders/Matched,testagent5 Orders/Matched,marketmaker Orders/Canceled,testagent1 Orders/Canceled,testagent2 Orders/Canceled,testagent3 Orders/Canceled,testagent4 Orders/Canceled,testagent5 Orders/Canceled
175.21789618465135,100,40,-1,0.0,0.0,1000000000,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,100,140,-1,0.0,0,1000000000,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,100,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,100,240,0.009999999999990905,0.0,1,1000000000,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,200,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,100,241,0.0049999999999954525,0.0,2,1000000000,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,201,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20003,99.6,240,0.009999999999990905,0.16000000000000228,3,1000000000.0,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,202,40,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
20183.456619840043,99.60499999999999,175,0.009999999999990905,0.19474085344375358,0.0,1000002490.125,9997509.875,10000000,10000000,10000000,10000000,75,10025,10000,10000,10000,10000,202,65,0,0,0,0,27,25,0,0,0,0,0,40,0,0,0,0
20201.207903184746,99.595,168,0.009999999999990905,0.20002083224837972,0.0,1000001792.96,9997509.875,10000000,10000000,10000000,10000697.165,82,10025,10000,10000,10000,9993,202,65,0,0,0,7,34,25,0,0,0,7,0,40,0,0,0,0
20205.53246504748,99.595,144,0.009999999999990905,0.19859198249225712,0.0,999999402.6800001,9997509.875,10002390.28,10000000,10000000,10000697.165,106,10025,9976,10000,10000,9993,202,65,24,0,0,7,58,25,24,0,0,7,0,40,0,0,0,0
20212.632802798256,99.595,217,0.009999999999990905,0.19464310288320189,0.0,999999402.6800001,9997509.875,10002390.28,10000000,10000000,10000697.165,106,10025,9976,10000,10000,9993,202,65,24,73,0,7,58,25,24,0,0,7,0,40,0,0,0,0
20354.73440710405,99.595,312,0.009999999999990905,0.189765937699872,0.0,999999402.6800001,9997509.875,10002390.28,10000000,10000000,10000697.165,106,10025,9976,10000,10000,9993,202,65,119,73,0,7,58,25,24,0,0,7,0,40,0,0,0,0
