Timestamp,Price,Book Size,Gap,Volatility,Queue Size,marketmaker Cash,testagent1 Cash,testagent2 Cash,testagent3 Cash,testagent4 Cash,testagent5 Cash,marketmaker Shares,testagent1 Shares,testagent2 Shares,testagent3 Shares,testagent4 Shares,testagent5 Shares,marketmaker Orders/Sent,testagent1 Orders/Sent,testagent2 Orders/Sent,testagent3 Orders/Sent,testagent4 Orders/Sent,testagent5 Orders/Sent,marketmaker Orders/Matched,testagent1 Orders/Matched,testagent2 Orders/Matched,testagent3 Orders/Matched,testagent4 Orders/Matched,testagent5 Orders/Matched,marketmaker Orders/Canceled,testagent1 Orders/Canceled,testagent2 Orders/Canceled,testagent3 Orders/Canceled,testagent4 Orders/Canceled,testagent5 Orders/Canceled
190.11231958468053,100,97,-1,0.0,0.0,1000000000,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0
208.0057468254223,100,98,-1,0.0,0.0,1000000000,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,0
20000,100,198,0.4350000000000023,0.0,0,1000000000,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,100,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,0
20001,100,298,0.009999999999990905,0.0,1,1000000000,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,200,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,0
20002,100,299,0.0049999999999954525,0.0,2,1000000000,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,201,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,0
20003,99.6,298,0.009999999999990905,0.14907119849998812,3,1000000000.0,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,202,0,0,0,1,97,2,0,0,0,0,0,0,0,0,0,0,0
20191.20879103681,99.6,385,0.009999999999990905,0.18856180831641536,0.0,1000000000.0,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,202,0,87,0,1,97,2,0,0,0,0,0,0,0,0,0,0,0
20201.70382537234,99.6,464,0.009999999999990905,0.19794866372216025,0.0,1000000000.0,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,202,80,87,0,1,97,2,0,0,0,0,0,0,0,0,0,1,0
40002,99.6,168,0.45000000000000284,0.16000000000000228,2,1000000000.0,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,203,80,87,0,1,97,2,0,0,0,0,0,200,0,0,0,1,97
40003,99.2,167,-1,0.1599999999999966,3,1000000000.0,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,204,80,87,0,1,97,4,0,0,0,0,0,200,0,0,0,1,97
40004,99.2,267,0.4549999999999983,0.19595917942265006,4,1000000000.0,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,304,80,87,0,1,97,4,0,0,0,0,0,200,0,0,0,1,97
40005,99.2,367,0.009999999999990905,0.19999999999999574,5,1000000000.0,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,404,80,87,0,1,97,4,0,0,0,0,0,200,0,0,0,1,97
40163.9770999489,99.2,393,0.009999999999990905,0.19794866372215317,0.0,1000000000.0,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,404,80,87,26,1,97,4,0,0,0,0,0,200,0,0,0,1,97
60002,99.2,27,-1,0.1490711984999828,2,1000000000.0,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,405,80,87,26,1,97,4,0,0,0,0,0,400,80,87,0,1,97
60003,98.8,26,-1,0.1490711984999881,3,1000000000.0,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,406,80,87,26,1,97,6,0,0,0,0,0,400,80,87,0,1,97
60004,98.8,126,-1,0.1885618083164154,4,1000000000.0,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,506,80,87,26,1,97,6,0,0,0,0,0,400,80,87,0,1,97
60005,98.8,226,0.009999999999990905,0.20000000000000284,5,1000000000.0,10000000,10000000,10000000,10000000,10000000,100,10000,10000,10000,10000,10000,606,80,87,26,1,97,6,0,0,0,0,0,400,80,87,0,1,97
60219.00600314127,98.80499999999999,163,0.009999999999990905,0.15951175505272602,0.0,1000003655.785,10000000,10000000,10000000,10000000,9996344.215,63,10000,10000,10000,10000,10037,606,80,87,26,1,134,43,0,0,0,0,37,400,80,87,26,1,97
60267.4870992875,98.80499999999999,131,-1,0.14834269633371364,0.0,1000009880.5,10000000,9993775.285,10000000,10000000,9996344.215,0,10000,10063,10000,10000,10037,606,80,181,26,1,134,106,0,63,0,0,37,400,80,87,26,1,97
60410.08958195483,98.795,39,-1,0.13971545427498677,0.0,1000003854.005,10000000,9990691.405,10000000,10000000,10005454.59,61,10000,10094,10000,10000,9945,606,80,181,26,1,226,167,0,94,0,0,129,400,80,87,26,1,97
60422.19590906186,98.795,112,-1,0.13233480267866227,0.0,1000003854.005,10000000,9990691.405,10000000,10000000,10005454.59,61,10000,10094,10000,10000,9945,606,80,181,26,74,226,167,0,94,0,0,129,400,80,87,26,1,97
60433.87289959054,98.795,179,-1,0.12595805690294612,0.0,1000003854.005,10000000,9990691.405,10000000,10000000,10005454.59,61,10000,10094,10000,10000,9945,606,80,181,93,74,226,167,0,94,0,0,129,400,80,87,26,1,97
60437.73914494225,100.8,143,-1,0.5988758218529112,0.0,1000003854.005,10000000,9994320.205,9996371.2,10000000,10005454.59,61,10000,10058,10036,10000,9945,606,80,217,93,74,226,167,0,130,36,0,129,400,80,87,26,1,97
60455.33868161442,98.96,76,-1,0.5714628900556393,0.0,1000003854.005,10006687.360000001,9994320.205,9993246.399999999,9996437.44,10005454.59,61,9933,10058,10067,10036,9945,606,147,217,93,74,226,167,67,130,67,36,129,400,80,87,26,1,97
60599.202482060005,98.96,90,2.8700000000000045,0.5474985730575014,0.0,1000003854.005,10006687.360000001,9994320.205,9993246.399999999,9996437.44,10005454.59,61,9933,10058,10067,10036,9945,606,147,217,107,74,226,167,67,130,67,36,129,400,80,87,26,1,97
60638.03189606949,98.96,162,2.8700000000000045,0.5263157645593267,0.0,1000003854.005,10006687.360000001,9994320.205,9993246.399999999,9996437.44,10005454.59,61,9933,10058,10067,10036,9945,606,147,217,107,74,298,167,67,130,67,36,129,400,80,87,26,1,97
60642.265738704766,98.96,245,1.6299999999999955,0.5074150426526634,0.0,1000003854.005,10006687.360000001,9994320.205,9993246.399999999,9996437.44,10005454.59,61,9933,10058,10067,10036,9945,606,147,217,190,74,298,167,67,130,67,36,129,400,80,87,26,1,97
60646.44188720127,98.96,277,1.6299999999999955,0.4904141107268428,0.15726714722404722,1000003854.005,10006687.360000001,9994320.205,9993246.399999999,9996437.44,10005454.59,61,9933,10058,10067,10036,9945,606,147,217,190,106,298,167,67,130,67,36,129,400,80,87,26,1,97
60651.92434058681,98.96,322,1.6299999999999955,0.47501469960807546,0.0,1000003854.005,10006687.360000001,9994320.205,9993246.399999999,9996437.44,10005454.59,61,9933,10058,10067,10036,9945,606,147,217,235,106,298,167,67,130,67,36,129,400,80,87,26,1,97
60658.159283826244,98.96,369,1.6299999999999955,0.4609802253525525,0.0,1000003854.005,10006687.360000001,9994320.205,9993246.399999999,9996437.44,10005454.59,61,9933,10058,10067,10036,9945,606,194,217,235,106,298,167,67,130,67,36,129,400,80,87,26,1,97
60661.77366806528,98.96,380,0.06999999999999318,0.44812030254782664,0.0,1000003854.005,10006687.360000001,9994320.205,9993246.399999999,9996437.44,10005454.59,61,9933,10058,10067,10036,9945,606,194,217,235,106,309,167,67,130,67,36,129,400,80,87,26,1,97
80002,100.2,340,0.06999999999999318,0.5114152597127279,2,1000003954.205,10006687.360000001,9994320.205,9993146.2,9996437.44,10005454.59,60,9933,10058,10068,10036,9945,607,194,217,235,106,309,168,67,130,68,36,129,439,80,87,26,1,97
80003,100.2,341,0.06999999999999318,0.570434907223868,3,1000003954.205,10006687.360000001,9994320.205,9993146.2,9996437.44,10005454.59,60,9933,10058,10068,10036,9945,608,194,217,235,106,309,168,67,130,68,36,129,439,80,87,26,1,97
80004,100.2,441,0.06999999999999318,0.6131927932241639,4,1000003954.205,10006687.360000001,9994320.205,9993146.2,9996437.44,10005454.59,60,9933,10058,10068,10036,9945,708,194,217,235,106,309,168,67,130,68,36,129,439,80,87,26,1,97
80169.43224982929,100.27,509,1.4099999999999966,0.6583083094165801,0.0,1000003954.205,10005584.39,9994320.205,9993146.2,9996437.44,10006557.56,60,9944,10058,10068,10036,9934,708,284,217,235,106,309,168,78,130,68,36,140,439,80,87,26,1,97
80220.54264192017,100.27,400,1.4099999999999966,0.682570712657509,0.0,1000003954.205,10005584.39,9994320.205,9993146.2,9996437.44,10006557.56,60,9944,10058,10068,10036,9934,708,284,217,314,106,309,168,78,130,68,36,140,439,127,87,26,70,169
80471.88390147623,100.42,218,-1,0.6502425582929717,0.0,1000003954.205,10001467.17,9994320.205,9993146.2,9996437.44,10010674.780000001,60,9985,10058,10068,10036,9893,708,284,217,314,106,350,168,119,130,68,36,181,439,127,87,167,70,169
80668.91893769782,100.42,236,-1,0.09145089013302392,0.0,1000003954.205,10001467.17,9994320.205,9993146.2,9996437.44,10010674.780000001,60,9985,10058,10068,10036,9893,708,302,217,314,106,350,168,119,130,68,36,181,439,127,87,167,70,169
80688.53279302821,100.42,228,-1,0.09682458365518543,0.0,1000003954.205,10000663.81,9994320.205,9993949.559999999,9996437.44,10010674.780000001,60,9993,10058,10060,10036,9893,708,302,217,322,106,350,168,127,130,76,36,181,439,127,87,167,70,169
80848.22889675768,100.42,318,-1,0.09877021593352715,0.39899769924522843,1000003954.205,10000663.81,9994320.205,9993949.559999999,9996437.44,10010674.780000001,60,9993,10058,10060,10036,9893,708,302,217,322,106,440,168,127,130,76,36,181,439,127,87,167,70,169
80901.04575472044,100.42,308,-1,0.09901515035589271,0.0,1000003954.205,10000663.81,9994320.205,9993949.559999999,9996437.44,10010674.780000001,60,9993,10058,10060,10036,9893,708,371,217,322,106,440,168,127,130,76,36,181,439,127,87,246,70,169
80926.6287284916,100.46,207,-1,0.10218278873689768,0.0,1000003954.205,9993653.41,9994320.205,9993949.559999999,10003648.76,10010473.860000001,60,10062,10058,10060,9965,9895,708,371,217,322,177,440,168,196,130,76,107,183,439,157,87,246,70,169
81059.40121490031,100.46,217,-1,0.10362861037806428,0.0,1000003954.205,9993653.41,9994320.205,9993949.559999999,10003648.76,10010473.860000001,60,10062,10058,10060,9965,9895,708,371,217,322,187,440,168,196,130,76,107,183,439,157,87,246,70,169
81139.13068440922,100.46,248,-1,0.1040425493296161,0.0,1000003954.205,9993653.41,9994320.205,9993949.559999999,10003648.76,10010473.860000001,60,10062,10058,10060,9965,9895,708,371,248,322,187,440,168,196,130,76,107,183,439,157,87,246,70,169
81150.13068440922,100.46,200,-1,0.10381498456585057,2.955689230657299,1000003954.205,9993653.41,9991184.245,9993949.559999999,10002625.06,10014633.520000001,60,10062,10089,10060,9975,9854,708,371,248,322,187,488,168,196,161,76,117,238,439,157,87,246,70,169
81158.2872686456,100.46,154,-1,0.10318053218617268,0.0,1000003954.205,9998274.57,9991184.245,9993949.559999999,10002625.06,10010012.360000001,60,10016,10089,10060,9975,9900,708,417,248,322,187,488,168,242,161,76,117,284,439,157,87,246,70,169
81169.85023905624,100.46,212,-1,0.1022863627273918,0.0,1000003954.205,9998274.57,9991184.245,9993949.559999999,10002625.06,10010012.360000001,60,10016,10089,10060,9975,9900,708,417,248,380,187,488,168,242,161,76,117,284,439,157,87,246,70,169
81386.8143264104,102.44,111,2.4799999999999898,0.4959120080449584,22.66646297108673,1000003954.205,9998274.57,9991184.245,9988008.04,10002625.06,10015953.88,60,10016,10089,10118,9975,9842,708,417,248,380,187,556,168,242,161,134,117,342,439,175,87,246,70,204
81396.8143264104,100.88,156,-1,0.4898815679501356,25.103118944942253,1000003954.205,9998274.57,9990175.444999998,9988008.04,10002625.06,10016962.680000002,60,10016,10099,10118,9975,9832,708,417,313,380,187,556,168,242,171,134,117,352,439,175,87,246,70,204
