Timestamp,Price,Book Size,Gap,Volatility,Queue Size,marketmaker Cash,testagent1 Cash,testagent2 Cash,testagent3 Cash,testagent4 Cash,testagent5 Cash,marketmaker Shares,testagent1 Shares,testagent2 Shares,testagent3 Shares,testagent4 Shares,testagent5 Shares,marketmaker Orders/Sent,testagent1 Orders/Sent,testagent2 Orders/Sent,testagent3 Orders/Sent,testagent4 Orders/Sent,testagent5 Orders/Sent,marketmaker Orders/Matched,testagent1 Orders/Matched,testagent2 Orders/Matched,testagent3 Orders/Matched,testagent4 Orders/Matched,testagent5 Orders/Matched,marketmaker Orders/Canceled,testagent1 Orders/Canceled,testagent2 Orders/Canceled,testagent3 Orders/Canceled,testagent4 Orders/Canceled,testagent5 Orders/Canceled
60002,99.2,129,2.3500000000000085,0.10969951857232316,2,1000003655.27,9996219.0,10004182.99,9990836.34,10005106.4,10000000,64,10038,9958,10092,9948,10000,405,98,42,159,59,190,228,38,42,92,52,0,177,0,0,5,0,190
60003,99.2,130,2.3500000000000085,0.12990381056766456,3,1000003655.27,9996219.0,10004182.99,9990836.34,10005106.4,10000000,64,10038,9958,10092,9948,10000,406,98,42,159,59,190,228,38,42,92,52,0,177,0,0,5,0,190
60004,99.2,230,2.3500000000000085,0.14523687548277675,4,1000003655.27,9996219.0,10004182.99,9990836.34,10005106.4,10000000,64,10038,9958,10092,9948,10000,506,98,42,159,59,190,228,38,42,92,52,0,177,0,0,5,0,190
60195.76201397242,99.2,255,2.6400000000000006,0.11999999999999886,0.0,1000003655.27,9996219.0,10004182.99,9990836.34,10005106.4,10000000,64,10038,9958,10092,9948,10000,506,98,42,246,59,190,228,38,42,92,52,0,177,0,0,67,0,190
60217.679069889644,99.2,302,2.6400000000000006,0.11180339887498843,0.0,1000003655.27,9996219.0,10004182.99,9990836.34,10005106.4,10000000,64,10038,9958,10092,9948,10000,506,98,42,246,113,190,228,38,42,92,52,0,177,0,0,67,7,190
60221.49808910251,98.81,289,2.6400000000000006,0.1855273784735426,0.0,1000003655.27,9997503.53,10004182.99,9989551.81,10005106.4,10000000,64,10025,9958,10105,9948,10000,506,111,42,246,113,190,228,51,42,105,52,0,177,0,0,67,7,190
60356.1224915653,98.81,296,-1,0.17618404106652427,0.0,1000003655.27,9997503.53,10004182.99,9989551.81,10005106.4,10000000,64,10025,9958,10105,9948,10000,506,111,42,246,180,190,228,51,42,105,52,0,177,60,0,67,7,190
80002,98.81,195,-1,0.18880793812761185,2,1000003754.0799999,9997503.53,10004182.99,9989453.0,10005106.4,10000000,63,10025,9958,10106,9948,10000,507,111,42,246,180,190,229,51,42,106,52,0,277,60,0,67,7,190
80003,98.81,196,-1,0.19500000000000028,3,1000003754.0799999,9997503.53,10004182.99,9989453.0,10005106.4,10000000,63,10025,9958,10106,9948,10000,508,111,42,246,180,190,229,51,42,106,52,0,277,60,0,67,7,190
80004,98.81,296,-1,0.18880793812761185,4,1000003754.0799999,9997503.53,10004182.99,9989453.0,10005106.4,10000000,63,10025,9958,10106,9948,10000,608,111,42,246,180,190,229,51,42,106,52,0,277,60,0,67,7,190
80205.37068713526,98.81,246,0.5900000000000034,0.1364715713836344,0.0,1000003754.0799999,9997503.53,10004182.99,9989453.0,10005106.4,10000000,63,10025,9958,10106,9948,10000,608,111,46,246,180,190,229,51,42,106,52,0,277,60,0,67,61,190
80209.7561389849,98.81,192,0.6000000000000085,0.12898037641439897,0.7673011370789027,1000003754.0799999,9997503.53,10004182.99,9989453.0,10005106.4,10000000,63,10025,9958,10106,9948,10000,608,111,46,246,180,209,229,51,42,106,52,0,277,60,0,140,61,190
100002,98.8,24,1.0,0.0037267799625015554,2,1000003754.0799999,9997503.53,10004182.99,9989453.0,10005106.4,10000000,63,10025,9958,10106,9948,10000,609,111,46,246,180,209,231,51,42,106,52,0,377,60,0,140,128,190
100003,98.8,25,1.0,0.004714045207912729,3,1000003754.0799999,9997503.53,10004182.99,9989453.0,10005106.4,10000000,63,10025,9958,10106,9948,10000,610,111,46,246,180,209,231,51,42,106,52,0,377,60,0,140,128,190
100004,98.8,125,1.0,0.005000000000002558,4,1000003754.0799999,9997503.53,10004182.99,9989453.0,10005106.4,10000000,63,10025,9958,10106,9948,10000,710,111,46,246,180,209,231,51,42,106,52,0,377,60,0,140,128,190
120002,98.4,1,-1,0.17320508075688404,2,1000003754.0799999,9997503.53,10004182.99,9989453.0,10005106.4,10000000,63,10025,9958,10106,9948,10000,711,111,46,246,180,209,233,51,42,106,52,0,477,60,4,140,128,209
120003,98.4,2,-1,0.19999999999999576,3,1000003754.0799999,9997503.53,10004182.99,9989453.0,10005106.4,10000000,63,10025,9958,10106,9948,10000,712,111,46,246,180,209,233,51,42,106,52,0,477,60,4,140,128,209
120004,98.4,102,-1,0.17320508075688404,4,1000003754.0799999,9997503.53,10004182.99,9989453.0,10005106.4,10000000,63,10025,9958,10106,9948,10000,812,111,46,246,180,209,233,51,42,106,52,0,477,60,4,140,128,209
120210.14980092205,98.4,133,1.0300000000000011,0.0,0.5061719905934297,1000003754.0799999,9997503.53,10004182.99,9989453.0,10005106.4,10000000,63,10025,9958,10106,9948,10000,812,111,46,246,211,209,233,51,42,106,52,0,477,60,4,140,128,209
