Timestamp,Price,Book Size,Gap,Volatility,Queue Size,Cash/testagent1,Cash/testagent2,Cash/testagent3,Cash/testagent4,Cash/testagent5,Shares/testagent1,Shares/testagent2,Shares/testagent3,Shares/testagent4,Shares/testagent5,Net Worth/testagent1,Net Worth/testagent2,Net Worth/testagent3,Net Worth/testagent4,Net Worth/testagent5,testagent1 Orders/Sent,testagent2 Orders/Sent,testagent3 Orders/Sent,testagent4 Orders/Sent,testagent5 Orders/Sent,testagent1 Orders/Matched,testagent2 Orders/Matched,testagent3 Orders/Matched,testagent4 Orders/Matched,testagent5 Orders/Matched,testagent1 Orders/Canceled,testagent2 Orders/Canceled,testagent3 Orders/Canceled,testagent4 Orders/Canceled,testagent5 Orders/Canceled
1864.3589514277674,99.98,190,0.6400000000000006,0.8529914769995038,0.0,10016375.169999998,9984772.71,10005474.45,9995431.520000001,9997946.15,9838,10151,9945,10046,10020,10999978.409999998,10999669.690000001,10999775.549999999,10999830.600000001,10999745.75,252,227,69,263,181,172,151,55,46,154,37,0,14,172,1
1887.1191614596098,99.98,271,0.6400000000000006,0.8374298478081613,0.0,10016375.169999998,9984772.71,10005474.45,9995431.520000001,9997946.15,9838,10151,9945,10046,10020,10999978.409999998,10999669.690000001,10999775.549999999,10999830.600000001,10999745.75,252,308,69,263,181,172,151,55,46,154,37,0,14,172,1
1912.344724866864,99.98,338,0.6400000000000006,0.8225415510322888,0.0,10016375.169999998,9984772.71,10005474.45,9995431.520000001,9997946.15,9838,10151,9945,10046,10020,10999978.409999998,10999669.690000001,10999775.549999999,10999830.600000001,10999745.75,252,308,136,263,181,172,151,55,46,154,37,0,14,172,1
2059.9854361871853,99.98,399,0.6400000000000006,0.8083031149388418,0.0,10016375.169999998,9984772.71,10005474.45,9995431.520000001,9997946.15,9838,10151,9945,10046,10020,10999978.409999998,10999669.690000001,10999775.549999999,10999830.600000001,10999745.75,252,308,197,263,181,172,151,55,46,154,37,0,14,172,1
2066.531710406103,99.98,463,0.10000000000000853,0.7946860373258138,0.0,10016375.169999998,9984772.71,10005474.45,9995431.520000001,9997946.15,9838,10151,9945,10046,10020,10999978.409999998,10999669.690000001,10999775.549999999,10999830.600000001,10999745.75,252,308,197,263,245,172,151,55,46,154,37,0,14,172,1
2084.501006501671,100.3,420,0.4200000000000017,0.7780476590301023,0.0773593573103426,10016375.169999998,9980468.13,10007179.549999999,9995431.520000001,10000545.63,9838,10194,9928,10046,9994,11003126.569999998,11002926.33,11002957.95,11003045.320000002,11002943.83,252,351,197,263,245,172,194,72,46,180,37,0,14,172,1
2282.864031384876,100.3,393,0.15000000000000568,0.7624123818511869,0.0,10016375.169999998,9980468.13,10007179.549999999,9995431.520000001,10000545.63,9838,10194,9928,10046,9994,11003126.569999998,11002926.33,11002957.95,11003045.320000002,11002943.83,252,351,197,263,337,172,194,72,46,180,80,76,14,172,1
2773.3213222395952,100.3,130,2.6200000000000045,0.7476833055805024,0.0,10016375.169999998,9980468.13,10007179.549999999,9995431.520000001,10000545.63,9838,10194,9928,10046,9994,11003126.569999998,11002926.33,11002957.95,11003045.320000002,11002943.83,252,351,197,263,403,172,194,72,46,180,80,157,125,217,93
3246.091199550026,100.3,121,-1,0.733776147637854,0.0,10016375.169999998,9980468.13,10007179.549999999,9995431.520000001,10000545.63,9838,10194,9928,10046,9994,11003126.569999998,11002926.33,11002957.95,11003045.320000002,11002943.83,252,351,197,318,403,172,194,72,46,180,80,157,125,217,157
3272.0849304810254,100.3,190,1.7700000000000102,0.720617206402446,0.9774944342684648,10016375.169999998,9980468.13,10007179.549999999,9995431.520000001,10000545.63,9838,10194,9928,10046,9994,11003126.569999998,11002926.33,11002957.95,11003045.320000002,11002943.83,252,351,197,318,472,172,194,72,46,180,80,157,125,217,157
