Timestamp,Price,Book Size,Gap,testagent1 Balance,testagent2 Balance,testagent3 Balance,testagent4 Balance,testagent5 Balance,testagent1 Shares,testagent2 Shares,testagent3 Shares,testagent4 Shares,testagent5 Shares
252.24421523951676,100,18,-1,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000
478.90355643178526,100,72,-1,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000
697.1551288472914,100,132,-1,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000
700.1270552840972,100,133,-1,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000
864.9284325805999,99.16323536683056,84,-1,10000000,9995141.001467025,10000000,10004858.998532975,10000000,10000,10049,10000,9951,10000
879.2005749805818,99.16323536683056,97,-1,10000000,9995141.001467025,10000000,10004858.998532975,10000000,10000,10049,10000,9951,10000
901.8239639575859,99.16323536683056,157,-1,10000000,9995141.001467025,10000000,10004858.998532975,10000000,10000,10049,10000,9951,10000
939.7821298035212,99.16597763931084,210,0.5239952614820282,10001289.157709312,9995141.001467025,9998215.026113855,10005354.814709809,10000000,9987,10049,10018,9946,10000
1099.1147832440329,99.16597763931084,282,0.5239952614820282,10001289.157709312,9995141.001467025,9998215.026113855,10005354.814709809,10000000,9987,10049,10018,9946,10000
1116.7284246772915,99.16597763931084,334,0.31246488506994297,10001289.157709312,9995141.001467025,9998215.026113855,10005354.814709809,10000000,9987,10049,10018,9946,10000
1152.3722698217382,99.16597763931084,340,0.18910051090411173,10001289.157709312,9995141.001467025,9998215.026113855,10005354.814709809,10000000,9987,10049,10018,9946,10000
1161.174472179393,99.16597763931084,344,0.18910051090411173,10001289.157709312,9995141.001467025,9998215.026113855,10005354.814709809,10000000,9987,10049,10018,9946,10000
1196.8566261442215,99.16597763931084,377,0.18910051090411173,10001289.157709312,9995141.001467025,9998215.026113855,10005354.814709809,10000000,9987,10049,10018,9946,10000
1357.480282059214,99.16597763931084,389,0.18910051090411173,10001289.157709312,9995141.001467025,9998215.026113855,10005354.814709809,10000000,9987,10049,10018,9946,10000
1384.5385368211575,99.5806251343219,362,0.18910051090411173,10001289.157709312,9992452.324588398,10000903.702992482,10005354.814709809,10000000,9987,10076,9991,9946,10000
1618.313105528593,99.76972564522602,75,0.18910051090411173,10001289.157709312,9992452.324588398,10000903.702992482,10005354.814709809,10000000.0,9987,10076,9991,9946,10000
1784.4992453381594,99.76972564522602,80,-1,10001189.387983667,9992452.324588398,10000903.702992482,10005354.814709809,10000099.769725645,9988,10076,9991,9946,9999
1791.111632605425,100.96235758866665,55,-1,9998665.32904395,9992452.324588398,10003427.761932198,10005354.814709809,10000099.769725645,10013,10076,9966,9946,9999
1821.5013849895736,100.96235758866665,73,-1,9998665.32904395,9992452.324588398,10003427.761932198,10005354.814709809,10000099.769725645,10013,10076,9966,9946,9999
1846.4312221816558,100.96235758866665,155,-1,9998665.32904395,9992452.324588398,10003427.761932198,10005354.814709809,10000099.769725645,10013,10076,9966,9946,9999
1943.8011425608427,100.96235758866665,184,1.766492908113861,9996848.006607356,9992452.324588398,10005245.084368793,10005354.814709809,10000099.769725645,10031,10076,9948,9946,9999
1970.8424865534282,100.96235758866665,245,0.37287088780939825,9996848.006607356,9992452.324588398,10005245.084368793,10005354.814709809,10000099.769725645,10031,10076,9948,9946,9999
2000.2511214084566,100.96235758866665,277,0.37287088780939825,9996848.006607356,9992452.324588398,10005245.084368793,10005354.814709809,10000099.769725645,10031,10076,9948,9946,9999
2119.358779535448,100.96235758866665,332,0.37287088780939825,9996848.006607356,9992452.324588398,10005245.084368793,10005354.814709809,10000099.769725645,10031,10076,9948,9946,9999
2124.907374908944,101.21971014577463,281,0.6582525551568637,9996848.006607356,9992452.324588398,10009988.99780728,10000206.02243074,10000504.648566227,10031,10076,9901,9997,9995
2174.2018452959073,101.21971014577463,285,0.6582525551568637,9996848.006607356,9992452.324588398,10009988.99780728,10000206.02243074,10000504.648566227,10031,10076,9901,9997,9995
2300.519705825802,100.56145759061776,234,0.6582525551568637,10001976.640944477,9987323.690251276,10009988.99780728,10000206.02243074,10000504.648566227,9980,10127,9901,9997,9995
2308.8969491825014,101.21971014577463,187,0.6582525551568637,10001976.640944477,9987323.690251276,10005231.671430428,10000206.02243074,10005261.974943079,9980,10127,9948,9997,9948
2314.4240962580025,101.21971014577463,228,0.6582525551568637,10001976.640944477,9987323.690251276,10005231.671430428,10000206.02243074,10005261.974943079,9980,10127,9948,9997,9948
2500.4274219076524,101.21971014577463,57,0.6582525551568637,10001976.640944477,9987323.690251276,10005231.671430428,10000206.02243074,10005261.974943079,9980,10127,9948,9997,9948
2533.845662652838,101.3659087017735,10,-1,10001976.640944477,9983573.444026422,10005231.671430428,10000206.02243074,10009012.221167933,9980,10164,9948,9997,9911
2730.5557202701552,101.3659087017735,51,-1,10001976.640944477,9983573.444026422,10005231.671430428,10000206.02243074,10009012.221167933,9980,10164,9948,9997,9911
2736.5275590935507,101.3659087017735,127,-1,10001976.640944477,9983573.444026422,10005231.671430428,10000206.02243074,10009012.221167933,9980,10164,9948,9997,9911
2736.645473656711,101.3659087017735,149,0.13826774706805622,10001976.640944477,9983573.444026422,10005231.671430428,10000206.02243074,10009012.221167933,9980,10164,9948,9997,9911
2737.503326031245,102.32711998573178,60,1.9260288162854664,10001976.640944477,9974552.54686351,10009120.101989886,10004730.293581983,10009620.416620145,9980,10253,9910,9952,9905
2750.6816761645123,100.40109116944632,44,-1,10001976.640944477,9974552.54686351,10009120.101989886,10006939.117587712,10007411.592614416,9980,10253,9910,9930,9927
2889.645944361742,102.32711998573178,1,-1,10001976.640944477,9974552.54686351,10013008.532549344,10003050.687028253,10007411.592614416,9980,10253,9872,9968,9927
2917.1656339247725,104.09325711858463,84,-1,10001976.640944477,9974552.54686351,10013112.625806462,10002946.593771135,10007411.592614416,9980,10253,9871,9969,9927
2923.966502243739,104.09325711858463,97,-1,10001976.640944477,9974552.54686351,10013112.625806462,10002946.593771135,10007411.592614416,9980,10253,9871,9969,9927
2928.934568651715,104.09325711858463,109,-1,10001976.640944477,9974552.54686351,10013112.625806462,10002946.593771135,10007411.592614416,9980,10253,9871,9969,9927
2931.514428856402,104.09325711858463,140,-1,10001976.640944477,9974552.54686351,10013112.625806462,10002946.593771135,10007411.592614416,9980,10253,9871,9969,9927
2932.6338798100055,100.41838471291098,47,-1,10001976.640944477,9965225.10032191,10019338.565658662,10006048.100460535,10007411.592614416,9980,10346,9809,9938,9927
2937.05130976055,100.41838471291098,120,-1,10001976.640944477,9965225.10032191,10019338.565658662,10006048.100460535,10007411.592614416,9980,10346,9809,9938,9927
2953.7312899748877,99.77561580356138,58,-1,10008162.729124298,9959039.012142088,10019338.565658662,10006048.100460535,10007411.592614416,9918,10408,9809,9938,9927
2953.9660618512225,99.77561580356138,126,-1,10008162.729124298,9959039.012142088,10019338.565658662,10006048.100460535,10007411.592614416,9918,10408,9809,9938,9927
2975.9041830540023,99.77561580356138,222,-1,10008162.729124298,9959039.012142088,10019338.565658662,10006048.100460535,10007411.592614416,9918,10408,9809,9938,9927
3003.1687075392774,99.77561580356138,278,-1,10008162.729124298,9959039.012142088,10019338.565658662,10006048.100460535,10007411.592614416,9918,10408,9809,9938,9927
3081.5187413445215,99.77561580356138,348,-1,10008162.729124298,9959039.012142088,10019338.565658662,10006048.100460535,10007411.592614416,9918,10408,9809,9938,9927
3091.4753322525717,99.77561580356138,419,-1,10008162.729124298,9959039.012142088,10019338.565658662,10006048.100460535,10007411.592614416,9918,10408,9809,9938,9927
3101.7052108963107,100.41838471291098,337,-1,10001079.247806815,9966022.075074859,10019438.984043375,10006048.100460535,10007411.592614416,9989,10338,9808,9938,9927
3106.5285984523366,100.93431464317028,291,-1,10001079.247806815,9967334.22116522,10022757.073401485,10006048.100460535,10002781.357165946,9989,10325,9775,9938,9973
3122.9332453689094,100.93431464317028,350,-1,10001079.247806815,9967334.22116522,10022757.073401485,10006048.100460535,10002781.357165946,9989,10325,9775,9938,9973
3152.0282165025337,100.93431464317028,385,-1,10001079.247806815,9967334.22116522,10022757.073401485,10006048.100460535,10002781.357165946,9989,10325,9775,9938,9973
3153.4312786274804,100.93431464317028,397,-1,10001079.247806815,9967334.22116522,10022757.073401485,10006048.100460535,10002781.357165946,9989,10325,9775,9938,9973
3168.418537137995,100.93431464317028,444,-1,10001079.247806815,9967334.22116522,10022757.073401485,10006048.100460535,10002781.357165946,9989,10325,9775,9938,9973
3182.9688979404896,99.09877083902644,430,-1,10001079.247806815,9968721.603956966,10022757.073401485,10004660.717668789,10002781.357165946,9989,10311,9775,9952,9973
3265.1373622674837,99.09877083902644,521,-1,10001079.247806815,9968721.603956966,10022757.073401485,10004660.717668789,10002781.357165946,9989,10311,9775,9952,9973
3277.866109299036,99.09877083902644,533,-1,10001079.247806815,9968721.603956966,10022757.073401485,10004660.717668789,10002781.357165946,9989,10311,9775,9952,9973
3283.95868884847,99.91916259258842,467,0.22828120876962998,10002274.309518186,9973181.048644722,10022757.073401485,9997807.181318551,10003980.387117056,9977,10266,9775,10021,9961
