Timestamp,Price,Book Size,Gap,Volatility,Queue Size,Cash/testagent1,Cash/testagent2,Cash/testagent3,Cash/testagent4,Cash/testagent5,Shares/testagent1,Shares/testagent2,Shares/testagent3,Shares/testagent4,Shares/testagent5,Net Worth/testagent1,Net Worth/testagent2,Net Worth/testagent3,Net Worth/testagent4,Net Worth/testagent5,testagent1 Orders/Sent,testagent2 Orders/Sent,testagent3 Orders/Sent,testagent4 Orders/Sent,testagent5 Orders/Sent,testagent1 Orders/Matched,testagent2 Orders/Matched,testagent3 Orders/Matched,testagent4 Orders/Matched,testagent5 Orders/Matched,testagent1 Orders/Canceled,testagent2 Orders/Canceled,testagent3 Orders/Canceled,testagent4 Orders/Canceled,testagent5 Orders/Canceled
231.55336785216832,100,52,-1,0.0,0.0,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000,11000000,11000000,11000000,11000000,11000000,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
241.49271922001103,100,132,-1,0.0,0.0,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000,11000000,11000000,11000000,11000000,11000000,80,0,52,0,0,0,0,0,0,0,0,0,0,0,0
430.74306229887884,100,141,-1,0.0,0.0,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000,11000000,11000000,11000000,11000000,11000000,80,0,52,0,9,0,0,0,0,0,0,0,0,0,0
444.71987439155663,100,179,-1,0.0,0.0,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000,11000000,11000000,11000000,11000000,11000000,80,0,90,0,9,0,0,0,0,0,0,0,0,0,0
454.6732570005754,98.95,137,-1,0.4199999999999989,0.0,9995844.1,10000000,10004155.9,10000000,10000000,10042,10000,9958,10000,10000,10989500.0,10989500.0,10989500.0,10989500.0,10989500.0,122,0,90,0,9,42,0,42,0,0,0,0,0,0,0
677.5308486908691,98.95,197,0.29999999999999716,0.49497474683058196,0.0,9995844.1,10000000,10004155.9,10000000,10000000,10042,10000,9958,10000,10000,10989500.0,10989500.0,10989500.0,10989500.0,10989500.0,122,0,90,60,9,42,0,42,0,0,0,0,0,0,0
680.7706059470489,100.06,164,1.4099999999999966,0.4801912884147178,0.0,9993957.389999999,10000000,10005145.4,10000000,10000897.21,10061,10000,9948,10000,9991,11000661.049999999,11000600.0,11000542.280000001,11000600.0,11000596.670000002,155,0,90,60,9,89,0,52,0,9,0,0,0,0,0
841.9958860051654,100.06,255,1.4099999999999966,0.46397063484664547,0.0,9993957.389999999,10000000,10005145.4,10000000,10000897.21,10061,10000,9948,10000,9991,11000661.049999999,11000600.0,11000542.280000001,11000600.0,11000596.670000002,155,91,90,60,9,89,0,52,0,9,0,0,0,0,0
847.4394892582254,100.08,162,1.4299999999999926,0.44938091846065553,0.0,10000561.35,10000000,10007847.56,9990693.879999999,10000897.21,9995,10000,9921,10093,9991,11000860.95,11000800.0,11000741.24,11000801.319999998,11000796.49,155,91,90,153,9,155,0,79,93,9,0,0,0,0,0
866.687427811881,100.08,242,0.7800000000000011,0.4351735286066916,0.0,10000561.35,10000000,10007847.56,9990693.879999999,10000897.21,9995,10000,9921,10093,9991,11000860.95,11000800.0,11000741.24,11000801.319999998,11000796.49,155,91,90,233,9,155,0,79,93,9,0,0,0,0,0
868.645961684875,100.08,303,0.7800000000000011,0.42170257036356645,0.0,10000561.35,10000000,10007847.56,9990693.879999999,10000897.21,9995,10000,9921,10093,9991,11000860.95,11000800.0,11000741.24,11000801.319999998,11000796.49,155,91,151,233,9,155,0,79,93,9,0,0,0,0,0
