Timestamp,Price,Book Size,Gap,testagent1 Balance,testagent2 Balance,testagent3 Balance,testagent4 Balance,testagent5 Balance,testagent1 Shares,testagent2 Shares,testagent3 Shares,testagent4 Shares,testagent5 Shares
402.118770096066,100,3,-1,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000
404.71066409945115,100,10,-1,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000
421.6555140260796,100,99,-1,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000
444.3362941281276,100,157,-1,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000
450.8684600448697,100,219,-1,10000000,10000000,10000000,10000000,10000000,10000,10000,10000,10000,10000
628.336118586253,100.48593808758488,161,-1,10000000,10005124.782842467,9994875.217157533,10000000,10000000,10000,9949,10051,10000,10000
776.2852217423261,100.48593808758488,217,0.18740206314890884,10000000,10005124.782842467,9994875.217157533,10000000,10000000,10000,9949,10051,10000,10000
806.0278225957296,100.97808581582562,169,0.6795497913896469,10004140.101518448,10000984.681324018,9994875.217157533,10000000,10000000,9959,9990,10051,10000,10000
818.8529016362718,100.97808581582562,176,0.6795497913896469,10004140.101518448,10000984.681324018,9994875.217157533,10000000,10000000,9959,9990,10051,10000,10000
819.8497504426562,100.97808581582562,199,0.2006596026963905,10004140.101518448,10000984.681324018,9994875.217157533,10000000,10000000,9959,9990,10051,10000,10000
854.149640308809,100.97808581582562,205,0.15874191081520905,10004140.101518448,10000984.681324018,9994875.217157533,10000000,10000000,9959,9990,10051,10000,10000
858.5228524373795,100.77742621312923,208,0.172415030155463,10007062.89838478,9998666.800521117,9994875.217157533,9999395.08393657,10000000,9930,10013,10051,10006,10000
1004.2343903488984,100.29853602443598,136,0.172415030155463,10007062.89838478,9999669.785881361,9993872.23179729,9999395.08393657,10000000,9930,10003,10061,10006,10000
1015.2430052354939,100.97808581582562,88,0.6795497913896469,10011590.683934132,9999669.785881361,9993872.23179729,9999395.08393657,9995472.214450648,9885,10003,10061,10006,10045
1016.3832505555164,101.13584146232303,62,-1,10015124.916937685,9999669.785881361,9989630.0479035,10000103.034826806,9995472.214450648,9850,10003,10103,9999,10045
1018.5561048409111,100.29853602443598,9,-1,10015124.916937685,10005015.54371423,9984284.29007063,10000103.034826806,9995472.214450648,9850,9950,10156,9999,10045
1022.1243094563949,100.29853602443598,108,1.4121120760378716,10015124.916937685,10005015.54371423,9984284.29007063,10000103.034826806,9995472.214450648,9850,9950,10156,9999,10045
1037.6141236263989,100.29853602443598,132,0.7029607984072044,10015124.916937685,10005015.54371423,9984284.29007063,10000103.034826806,9995472.214450648,9850,9950,10156,9999,10045
1040.3615297736992,100.29853602443598,231,0.5029759129128593,10015124.916937685,10005015.54371423,9984284.29007063,10000103.034826806,9995472.214450648,9850,9950,10156,9999,10045
1066.1369666621267,100.29853602443598,308,0.5029759129128593,10015124.916937685,10005015.54371423,9984284.29007063,10000103.034826806,9995472.214450648,9850,9950,10156,9999,10045
1069.0696006758392,100.49852090993032,212,0.5029759129128593,10005477.058930332,10014663.401721584,9984284.29007063,10000103.034826806,9995472.214450648,9946,9854,10156,9999,10045
1099.813076966741,100.49852090993032,218,0.5029759129128593,10005477.058930332,10014663.401721584,9984284.29007063,10000103.034826806,9995472.214450648,9946,9854,10156,9999,10045
1147.2651402718593,100.49852090993032,313,0.5029759129128593,10005477.058930332,10014663.401721584,9984284.29007063,10000103.034826806,9995472.214450648,9946,9854,10156,9999,10045
1204.8522347106723,100.49852090993032,318,0.5029759129128593,10005477.058930332,10014663.401721584,9984284.29007063,10000103.034826806,9995472.214450648,9946,9854,10156,9999,10045
1221.3033935052385,100.49852090993032,359,0.22085958100981884,10005477.058930332,10014663.401721584,9984284.29007063,10000103.034826806,9995472.214450648,9946,9854,10156,9999,10045
1227.225207271419,100.49852090993032,420,0.22085958100981884,10005477.058930332,10014663.401721584,9984284.29007063,10000103.034826806,9995472.214450648,9946,9854,10156,9999,10045
1238.4612890158883,100.49852090993032,433,0.22085958100981884,10005477.058930332,10014663.401721584,9984284.29007063,10000103.034826806,9995472.214450648,9946,9854,10156,9999,10045
1238.5737673015026,99.93827474951718,358,0.7811057414229623,10005175.563367601,10014663.401721584,9990881.89694258,9993806.923517587,9995472.214450648,9949,9854,10090,10062,10045
1249.654774246488,99.93827474951718,424,0.7811057414229623,10005175.563367601,10014663.401721584,9990881.89694258,9993806.923517587,9995472.214450648,9949,9854,10090,10062,10045
1250.0107643150068,99.93827474951718,512,0.7811057414229623,10005175.563367601,10014663.401721584,9990881.89694258,9993806.923517587,9995472.214450648,9949,9854,10090,10062,10045
1251.3447902669866,99.93827474951718,553,0.1660954319608976,10005175.563367601,10014663.401721584,9990881.89694258,9993806.923517587,9995472.214450648,9949,9854,10090,10062,10045
1251.3486335979983,99.93827474951718,563,0.1660954319608976,10005175.563367601,10014663.401721584,9990881.89694258,9993806.923517587,9995472.214450648,9949,9854,10090,10062,10045
1271.202495222257,99.93827474951718,651,0.1660954319608976,10005175.563367601,10014663.401721584,9990881.89694258,9993806.923517587,9995472.214450648,9949,9854,10090,10062,10045
1271.7278562213776,99.93827474951718,699,0.1660954319608976,10005175.563367601,10014663.401721584,9990881.89694258,9993806.923517587,9995472.214450648,9949,9854,10090,10062,10045
1444.5075737219172,100.55328505897924,688,0.1660954319608976,10005175.563367601,10013557.315585935,9990881.89694258,9993806.923517587,9996578.300586296,9949,9865,10090,10062,10034
